ID,VENDEDOR,NIVEL,CANT VENDIDA,MONTO,COMISION
1,Fedora,2,117,43136.99,2156.00
2,Blanca,2,152,20984.77,1049.00
6,Kyle,2,183,87481.40,4374.00
8,Vanya,2,174,85760.90,4288.00
9,Amber,2,32,24527.98,858.00
12,Cornelius,2,136,53530.67,2676.00
15,Corry,2,126,21861.11,1093.00
17,Jo-anne,2,141,28564.96,1428.00
18,Barn,2,17,81857.73,2865.00
22,Desiree,2,83,79516.36,2783.00
25,Caresse,2,156,44196.38,2209.00
32,Valentine,2,163,65507.71,3275.00
34,Ellyn,2,164,44071.21,2203.00
35,Ola,2,115,11798.95,589.00
45,Polly,2,96,90896.61,3181.00
46,Harrietta,2,118,10843.24,542.00
47,Georgeanna,2,51,35087.63,1228.00
51,Florina,2,44,97451.00,3410.00
52,Faustina,2,62,99187.04,3471.00
53,Bent,2,176,93415.51,4670.00
58,Remus,2,53,25826.29,903.00
65,Milicent,2,184,66967.03,3348.00
69,Shayne,2,166,87181.02,4359.00
72,Esra,2,196,75835.91,3791.00
75,Taddeusz,2,63,97698.74,3419.00
77,Igor,2,15,27068.50,947.00
81,Mortimer,2,4,40181.62,1406.00
89,Delmore,2,7,56085.43,1962.00
90,Didi,2,137,84333.43,4216.00
93,Jennifer,2,174,77226.76,3861.00
96,Clarey,2,113,92482.05,4624.00
