ID,VENDEDOR,NIVEL,CANT VENDIDA,MONTO,COMISION
4,Tye,0,89,80270.00,1605.00
5,Boniface,0,170,41265.18,825.00
7,Rozele,0,44,61985.34,1239.00
10,Kristel,0,18,809.92,16.00
11,Prentiss,0,5,60207.74,1204.00
13,Cyrus,0,105,25566.15,511.00
14,Shane,0,148,45107.10,902.00
16,Kahlil,0,69,78577.50,1571.00
19,Robbie,0,56,64195.19,1283.00
21,Kissie,0,160,90198.39,1803.00
23,Saree,0,36,9469.25,189.00
24,Patrick,0,74,79986.29,1599.00
26,Issi,0,132,70932.85,1418.00
27,Claus,0,90,23969.42,479.00
29,Olivette,0,124,82974.63,1659.00
38,Tore,0,12,91175.72,1823.00
39,Bernette,0,52,89869.37,1797.00
41,Jase,0,111,15799.73,315.00
42,Binnie,0,139,36845.67,736.00
48,Jerrilee,0,105,2590.34,51.00
54,Gwenette,0,199,78582.48,1571.00
56,Michaela,0,186,72293.13,1445.00
57,Edith,0,152,77183.60,1543.00
60,Calypso,0,83,35722.43,714.00
61,Zitella,0,27,86391.42,1727.00
62,Reynolds,0,133,59499.18,1189.00
67,Delphinia,0,90,85093.67,1701.00
70,Esther,0,138,71893.30,1437.00
71,Zack,0,102,95865.75,1917.00
73,Wallis,0,57,1397.41,27.00
76,Mair,0,181,4288.46,85.00
79,Ethelred,0,194,84490.31,1689.00
80,Rosamond,0,113,1831.43,36.00
82,Christi,0,128,41341.81,826.00
83,Katey,0,129,8094.10,161.00
84,Peggie,0,124,80982.32,1619.00
85,Arnie,0,118,91699.39,1833.00
86,Tobi,0,157,21663.43,433.00
87,Lisabeth,0,121,32718.40,654.00
92,Greta,0,126,57318.85,1146.00
94,Babara,0,179,3174.36,63.00
95,Silvanus,0,194,89301.46,1786.00
98,Ronna,0,81,57459.17,1149.00
99,Clovis,0,80,26278.22,525.00
